"plots" "plants" "soil" "treatment" "gradient" "response" "all_factors"
"20" 104 "Beetroot" "Sandy" "B" "20" 43.6164571700892 "Beetroot.Sandy.B.Sandy"
"21" 201 "Cucumber" "Black" "A" "30" 50.8367434349487 "Cucumber.Black.A.Black"
"22" 202 "Cucumber" "Clay" "D" "20" 37.4187296050365 "Cucumber.Clay.D.Clay"
"23" 203 "Cucumber" "Peat" "B" "0" 49.2047350898483 "Cucumber.Peat.B.Peat"
"24" 204 "Cucumber" "Sandy" "C" "10" 55.2391853295888 "Cucumber.Sandy.C.Sandy"
"25" 301 "Radish" "Black" "C" "20" 58.798728369442 "Radish.Black.C.Black"
"26" 302 "Radish" "Clay" "B" "30" 48.6273702936026 "Radish.Clay.B.Clay"
"27" 303 "Radish" "Peat" "D" "10" 54.5011727949853 "Radish.Peat.D.Peat"
"28" 304 "Radish" "Sandy" "A" "0" 54.0786212849336 "Radish.Sandy.A.Sandy"
"29" 401 "Carrot" "Black" "B" "10" 48.2612929333347 "Carrot.Black.B.Black"
"30" 402 "Carrot" "Clay" "C" "0" 58.7899818208403 "Carrot.Clay.C.Clay"
"31" 403 "Carrot" "Peat" "A" "20" 51.2569891510163 "Carrot.Peat.A.Peat"
"32" 404 "Carrot" "Sandy" "D" "30" 48.0077929746785 "Carrot.Sandy.D.Sandy"
"33" 101 "Beetroot" "Black" "D" "0" 43.1693173895804 "Beetroot.Black.D.Black"
"34" 102 "Beetroot" "Clay" "A" "10" 49.6900999878863 "Beetroot.Clay.A.Clay"
"35" 103 "Beetroot" "Peat" "C" "30" 53.2171053712692 "Beetroot.Peat.C.Peat"
"36" 104 "Beetroot" "Sandy" "B" "20" 41.5481578070896 "Beetroot.Sandy.B.Sandy"
"37" 201 "Cucumber" "Black" "A" "30" 47.6796780345374 "Cucumber.Black.A.Black"
"38" 202 "Cucumber" "Clay" "D" "20" 48.2460297702362 "Cucumber.Clay.D.Clay"
"39" 203 "Cucumber" "Peat" "B" "0" 40.1589029356566 "Cucumber.Peat.B.Peat"
"40" 204 "Cucumber" "Sandy" "C" "10" 51.4372270498849 "Cucumber.Sandy.C.Sandy"
"41" 301 "Radish" "Black" "C" "20" 52.3525935381131 "Radish.Black.C.Black"
"42" 302 "Radish" "Clay" "B" "30" 46.1387334381215 "Radish.Clay.B.Clay"
"43" 303 "Radish" "Peat" "D" "10" 51.4311021882167 "Radish.Peat.D.Peat"
"44" 304 "Radish" "Sandy" "A" "0" 53.6019383577241 "Radish.Sandy.A.Sandy"
"45" 401 "Carrot" "Black" "B" "10" 45.5518831209885 "Carrot.Black.B.Black"
"46" 402 "Carrot" "Clay" "C" "0" 62.556040222567 "Carrot.Clay.C.Clay"
"47" 403 "Carrot" "Peat" "A" "20" 56.2368289880558 "Carrot.Peat.A.Peat"
"48" 404 "Carrot" "Sandy" "D" "30" 43.4598120653263 "Carrot.Sandy.D.Sandy"
"49" 101 "Beetroot" "Black" "D" "0" 50.397044975486 "Beetroot.Black.D.Black"
"50" 102 "Beetroot" "Clay" "A" "10" 51.4633321717593 "Beetroot.Clay.A.Clay"
"51" 103 "Beetroot" "Peat" "C" "30" 51.9048322397201 "Beetroot.Peat.C.Peat"
"52" 104 "Beetroot" "Sandy" "B" "20" 40.0544320082021 "Beetroot.Sandy.B.Sandy"
"53" 201 "Cucumber" "Black" "A" "30" 50.4808927607768 "Cucumber.Black.A.Black"
"54" 202 "Cucumber" "Clay" "D" "20" 49.9123956683893 "Cucumber.Clay.D.Clay"
"55" 203 "Cucumber" "Peat" "B" "0" 46.8502127415112 "Cucumber.Peat.B.Peat"
"56" 204 "Cucumber" "Sandy" "C" "10" 44.2228987285735 "Cucumber.Sandy.C.Sandy"
"57" 301 "Radish" "Black" "C" "20" 59.7117884585192 "Radish.Black.C.Black"
"58" 302 "Radish" "Clay" "B" "30" 53.7707842047946 "Radish.Clay.B.Clay"
"59" 303 "Radish" "Peat" "D" "10" 48.7845934822627 "Radish.Peat.D.Peat"
"60" 304 "Radish" "Sandy" "A" "0" 57.0511558854417 "Radish.Sandy.A.Sandy"
"61" 401 "Carrot" "Black" "B" "10" 47.1272428299592 "Carrot.Black.B.Black"
"62" 402 "Carrot" "Clay" "C" "0" 55.0014597549907 "Carrot.Clay.C.Clay"
"63" 403 "Carrot" "Peat" "A" "20" 54.6627224727376 "Carrot.Peat.A.Peat"
"64" 404 "Carrot" "Sandy" "D" "30" 48.3690812966904 "Carrot.Sandy.D.Sandy"
"65" 101 "Beetroot" "Black" "D" "0" 43.090683318933 "Beetroot.Black.D.Black"
"66" 102 "Beetroot" "Clay" "A" "10" 45.0631410235695 "Beetroot.Clay.A.Clay"
"67" 103 "Beetroot" "Peat" "C" "30" 52.7610258811496 "Beetroot.Peat.C.Peat"
"68" 104 "Beetroot" "Sandy" "B" "20" 39.6177546164523 "Beetroot.Sandy.B.Sandy"
"69" 201 "Cucumber" "Black" "A" "30" 52.984444741712 "Cucumber.Black.A.Black"
"70" 202 "Cucumber" "Clay" "D" "20" 51.7435024697318 "Cucumber.Clay.D.Clay"
"71" 203 "Cucumber" "Peat" "B" "0" 49.5346999217093 "Cucumber.Peat.B.Peat"
"72" 204 "Cucumber" "Sandy" "C" "10" 49.8206492455292 "Cucumber.Sandy.C.Sandy"
"73" 301 "Radish" "Black" "C" "20" 47.7592725340869 "Radish.Black.C.Black"
"74" 302 "Radish" "Clay" "B" "30" 42.7033707772053 "Radish.Clay.B.Clay"
"75" 303 "Radish" "Peat" "D" "10" 47.7652456397174 "Radish.Peat.D.Peat"
"76" 304 "Radish" "Sandy" "A" "0" 56.7683295080495 "Radish.Sandy.A.Sandy"
"77" 401 "Carrot" "Black" "B" "10" 51.8905540769424 "Carrot.Black.B.Black"
"78" 402 "Carrot" "Clay" "C" "0" 55.5941689826792 "Carrot.Clay.C.Clay"
"79" 403 "Carrot" "Peat" "A" "20" 51.326960565254 "Carrot.Peat.A.Peat"
"80" 404 "Carrot" "Sandy" "D" "30" 48.5086386604149 "Carrot.Sandy.D.Sandy"
